idx,iso3,spbleu,comet
788,cmn_isl,13.21,77.45
789,cmn_ita,17.67,81.84
790,cmn_jav,10.96,80.7
791,cmn_jpn,17.65,86.29
792,cmn_kan,15.03,75.92
793,cmn_kat,17.31,79.1
794,cmn_kaz,14.52,82.53
795,cmn_khm,11.1,73.9
796,cmn_kir,12.17,79.68
797,cmn_kor,14.17,83.36
798,cmn_lao,16.81,76.89
799,cmn_lav,15.89,83.23
800,cmn_lit,15.75,84.78
801,cmn_mal,16.33,77.97
802,cmn_mkd,17.96,82.4
803,cmn_msa,16.63,81.14
804,cmn_mya,10.09,79.5
805,cmn_nld,17.51,81.22
806,cmn_nob,15.4,82.89
807,cmn_npi,13.18,70.89
808,cmn_pan,14.86,73.53
809,cmn_pol,16.44,84.02
810,cmn_por,21.89,81.76
811,cmn_ron,20.1,82.63
812,cmn_rus,19.32,83.85
813,cmn_slk,15.52,83.33
814,cmn_slv,15.26,83.15
815,cmn_spa,17.13,79.95
816,cmn_srp,17.38,82.95
817,cmn_swe,20.27,82.98
818,cmn_swh,14.72,76.42
819,cmn_tam,17.19,81.59
820,cmn_tel,18.23,77.3
821,cmn_tgl,17.56,77.72
822,cmn_tha,25.6,82.69
823,cmn_tur,16.54,80.33
824,cmn_ukr,17.19,83.82
825,cmn_urd,13.68,73.84
826,cmn_uzb,15.5,82.99
827,cmn_vie,22.63,83.58
828,cmn_yue,20.12,86.41
829,cym_afr,10.81,60.72
830,cym_amh,6.19,64.49
831,cym_ara,10.28,62.69
832,cym_asm,4.8,60.72
833,cym_azj,5.72,61.64
834,cym_bel,7.3,66.04
835,cym_ben,8.14,61.72
836,cym_bos,8.5,63.77
837,cym_bul,11.65,63.98
838,cym_cat,11.49,59.04
839,cym_ces,8.69,64.39
840,cym_cmn,9.43,62.05
841,cym_dan,10.34,62.14
842,cym_deu,9.8,58.5
843,cym_ell,10.26,64.33
844,cym_eng,13.48,61.07
845,cym_est,7.55,65.42
846,cym_fas,9.65,61.35
847,cym_fin,8.14,65.81
848,cym_fra,13.22,56.39
849,cym_glg,9.27,59.95
850,cym_guj,9.02,65.76
851,cym_heb,10.48,61.56
852,cym_hin,9.69,51.29
853,cym_hrv,8.1,63.96
854,cym_hun,7.71,61.34
855,cym_hye,9.5,64.73
856,cym_ind,10.56,63.8
857,cym_isl,7.04,60.46
858,cym_ita,8.54,60.57
859,cym_jav,6.23,67.48
860,cym_jpn,8.38,67.17
861,cym_kan,8.05,61.37
862,cym_kat,8.31,60.5
